icp_number,meter_serial_number,channel_number,started_at,ended_at,value,unit_code,status
0005045312RN131,208211246,1,25/12/2020 03:30,25/12/2020 03:59,0.055,kWh,validated
0005045312RN131,208211246,1,25/12/2020 04:00,25/12/2020 04:29,0.051,kWh,validated
0005045312RN131,208211246,1,25/12/2020 04:30,25/12/2020 04:59,0.081,kWh,validated
0005045312RN131,208211246,1,25/12/2020 05:00,25/12/2020 05:29,0.055,kWh,validated
0005045312RN131,208211246,1,25/12/2020 05:30,25/12/2020 05:59,0.079,kWh,validated
0005045312RN131,208211246,1,25/12/2020 06:00,25/12/2020 06:29,0.074,kWh,validated
0005045312RN131,208211246,1,25/12/2020 06:30,25/12/2020 06:59,0.073,kWh,validated
0005045312RN131,208211246,1,25/12/2020 07:00,25/12/2020 07:29,0.039,kWh,validated
0005045312RN131,208211246,1,25/12/2020 07:30,25/12/2020 07:59,0.064,kWh,validated
0005045312RN131,208211246,1,25/12/2020 08:00,25/12/2020 08:29,0.030,kWh,validated
0005045312RN131,208211246,1,25/12/2020 08:30,25/12/2020 08:59,0.063,kWh,validated
0005045312RN131,208211246,1,25/12/2020 09:00,25/12/2020 09:29,0.040,kWh,validated
0005045312RN131,208211246,1,25/12/2020 09:30,25/12/2020 09:59,0.037,kWh,validated
0005045312RN131,208211246,1,25/12/2020 10:00,25/12/2020 10:29,0.204,kWh,validated
0005045312RN131,208211246,1,25/12/2020 10:30,25/12/2020 10:59,0.202,kWh,validated
0005045312RN131,208211246,1,25/12/2020 11:00,25/12/2020 11:29,0.198,kWh,validated
0005045312RN131,208211246,1,25/12/2020 11:30,25/12/2020 11:59,0.500,kWh,validated
0005045312RN131,208211246,1,25/12/2020 12:00,25/12/2020 12:29,0.883,kWh,validated
0005045312RN131,208211246,1,25/12/2020 12:30,25/12/2020 12:59,0.801,kWh,validated
0005045312RN131,208211246,1,25/12/2020 13:00,25/12/2020 13:29,0.768,kWh,validated
0005045312RN131,208211246,1,25/12/2020 13:30,25/12/2020 13:59,0.738,kWh,validated
0005045312RN131,208211246,1,25/12/2020 14:00,25/12/2020 14:29,0.354,kWh,validated
0005045312RN131,208211246,1,25/12/2020 14:30,25/12/2020 14:59,0.059,kWh,validated
0005045312RN131,208211246,1,25/12/2020 15:00,25/12/2020 15:29,0.031,kWh,validated
0005045312RN131,208211246,1,25/12/2020 15:30,25/12/2020 15:59,0.242,kWh,validated
0005045312RN131,208211246,1,25/12/2020 16:00,25/12/2020 16:29,0.052,kWh,validated
0005045312RN131,208211246,1,25/12/2020 16:30,25/12/2020 16:59,0.395,kWh,validated
0005045312RN131,208211246,1,25/12/2020 17:00,25/12/2020 17:29,1.071,kWh,validated
0005045312RN131,208211246,1,25/12/2020 17:30,25/12/2020 17:59,0.596,kWh,validated
0005045312RN131,208211246,1,25/12/2020 18:00,25/12/2020 18:29,0.423,kWh,validated
0005045312RN131,208211246,1,25/12/2020 18:30,25/12/2020 18:59,0.063,kWh,validated
0005045312RN131,208211246,1,25/12/2020 19:00,25/12/2020 19:29,0.069,kWh,validated
0005045312RN131,208211246,1,25/12/2020 19:30,25/12/2020 19:59,0.069,kWh,validated
0005045312RN131,208211246,1,25/12/2020 20:00,25/12/2020 20:29,0.078,kWh,validated
0005045312RN131,208211246,1,25/12/2020 20:30,25/12/2020 20:59,0.076,kWh,validated
0005045312RN131,208211246,1,25/12/2020 21:00,25/12/2020 21:29,0.078,kWh,validated
0005045312RN131,208211246,1,25/12/2020 21:30,25/12/2020 21:59,0.215,kWh,validated
0005045312RN131,208211246,1,25/12/2020 22:00,25/12/2020 22:29,0.037,kWh,validated
0005045312RN131,208211246,1,25/12/2020 22:30,25/12/2020 22:59,0.077,kWh,validated
0005045312RN131,208211246,1,25/12/2020 23:00,25/12/2020 23:29,0.039,kWh,validated
0005045312RN131,208211246,1,25/12/2020 23:30,25/12/2020 23:59,0.065,kWh,validated
0005045312RN131,208211246,1,26/12/2020 00:00,26/12/2020 00:29,0.188,kWh,validated
0005045312RN131,208211246,1,26/12/2020 00:30,26/12/2020 00:59,0.049,kWh,validated
0005045312RN131,208211246,1,26/12/2020 01:00,26/12/2020 01:29,0.067,kWh,validated
0005045312RN131,208211246,1,26/12/2020 01:30,26/12/2020 01:59,0.307,kWh,validated
0005045312RN131,208211246,1,26/12/2020 02:00,26/12/2020 02:29,0.260,kWh,validated
0005045312RN131,208211246,1,26/12/2020 02:30,26/12/2020 02:59,0.038,kWh,validated
0005045312RN131,208211246,1,26/12/2020 03:00,26/12/2020 03:29,0.055,kWh,validated
0005045312RN131,208211246,1,26/12/2020 03:30,26/12/2020 03:59,0.054,kWh,validated
0005045312RN131,208211246,1,26/12/2020 04:00,26/12/2020 04:29,0.036,kWh,validated
0005045312RN131,208211246,1,26/12/2020 04:30,26/12/2020 04:59,0.064,kWh,validated
0005045312RN131,208211246,1,26/12/2020 05:00,26/12/2020 05:29,0.032,kWh,validated
0005045312RN131,208211246,1,26/12/2020 05:30,26/12/2020 05:59,0.192,kWh,validated
0005045312RN131,208211246,1,26/12/2020 06:00,26/12/2020 06:29,0.051,kWh,validated
0005045312RN131,208211246,1,26/12/2020 06:30,26/12/2020 06:59,0.027,kWh,validated
0005045312RN131,208211246,1,26/12/2020 07:00,26/12/2020 07:29,0.207,kWh,validated
0005045312RN131,208211246,1,26/12/2020 07:30,26/12/2020 07:59,0.039,kWh,validated
0005045312RN131,208211246,1,26/12/2020 08:00,26/12/2020 08:29,0.038,kWh,validated
0005045312RN131,208211246,1,26/12/2020 08:30,26/12/2020 08:59,0.275,kWh,validated
0005045312RN131,208211246,1,26/12/2020 09:00,26/12/2020 09:29,0.078,kWh,validated
0005045312RN131,208211246,1,26/12/2020 09:30,26/12/2020 09:59,0.853,kWh,validated
0005045312RN131,208211246,1,26/12/2020 10:00,26/12/2020 10:29,0.778,kWh,validated
0005045312RN131,208211246,1,26/12/2020 10:30,26/12/2020 10:59,0.679,kWh,validated
0005045312RN131,208211246,1,26/12/2020 11:00,26/12/2020 11:29,0.063,kWh,validated
0005045312RN131,208211246,1,26/12/2020 11:30,26/12/2020 11:59,0.037,kWh,validated
0005045312RN131,208211246,1,26/12/2020 12:00,26/12/2020 12:29,0.058,kWh,validated
0005045312RN131,208211246,1,26/12/2020 12:30,26/12/2020 12:59,0.043,kWh,validated
0005045312RN131,208211246,1,26/12/2020 13:00,26/12/2020 13:29,0.041,kWh,validated
0005045312RN131,208211246,1,26/12/2020 13:30,26/12/2020 13:59,0.209,kWh,validated
0005045312RN131,208211246,1,26/12/2020 14:00,26/12/2020 14:29,0.444,kWh,validated
0005045312RN131,208211246,1,26/12/2020 14:30,26/12/2020 14:59,0.088,kWh,validated
0005045312RN131,208211246,1,26/12/2020 15:00,26/12/2020 15:29,0.135,kWh,validated
0005045312RN131,208211246,1,26/12/2020 15:30,26/12/2020 15:59,0.323,kWh,validated
0005045312RN131,208211246,1,26/12/2020 16:00,26/12/2020 16:29,0.760,kWh,validated
0005045312RN131,208211246,1,26/12/2020 16:30,26/12/2020 16:59,0.114,kWh,validated
0005045312RN131,208211246,1,26/12/2020 17:00,26/12/2020 17:29,0.043,kWh,validated
0005045312RN131,208211246,1,26/12/2020 17:30,26/12/2020 17:59,0.083,kWh,validated
0005045312RN131,208211246,1,26/12/2020 18:00,26/12/2020 18:29,0.067,kWh,validated
0005045312RN131,208211246,1,26/12/2020 18:30,26/12/2020 18:59,0.175,kWh,validated
0005045312RN131,208211246,1,26/12/2020 19:00,26/12/2020 19:29,0.998,kWh,validated
0005045312RN131,208211246,1,26/12/2020 19:30,26/12/2020 19:59,1.067,kWh,validated
0005045312RN131,208211246,1,26/12/2020 20:00,26/12/2020 20:29,0.396,kWh,validated
0005045312RN131,208211246,1,26/12/2020 20:30,26/12/2020 20:59,0.570,kWh,validated
0005045312RN131,208211246,1,26/12/2020 21:00,26/12/2020 21:29,0.944,kWh,validated
0005045312RN131,208211246,1,26/12/2020 21:30,26/12/2020 21:59,0.959,kWh,validated
0005045312RN131,208211246,1,26/12/2020 22:00,26/12/2020 22:29,0.336,kWh,validated
0005045312RN131,208211246,1,26/12/2020 22:30,26/12/2020 22:59,0.613,kWh,validated
0005045312RN131,208211246,1,26/12/2020 23:00,26/12/2020 23:29,0.289,kWh,validated
0005045312RN131,208211246,1,26/12/2020 23:30,26/12/2020 23:59,0.260,kWh,validated
0005045312RN131,208211246,1,27/12/2020 00:00,27/12/2020 00:29,0.270,kWh,validated
0005045312RN131,208211246,1,27/12/2020 00:30,27/12/2020 00:59,0.191,kWh,validated
0005045312RN131,208211246,1,27/12/2020 01:00,27/12/2020 01:29,0.070,kWh,validated
0005045312RN131,208211246,1,27/12/2020 01:30,27/12/2020 01:59,0.044,kWh,validated
